regionID,parcel_name,FAT_left,AF_left,PTAT_left,MdLF_left,SLF_III_left,SLF_II_left,SLF_I_left,C_FP_left,C_R_left,C_FPH_left,C_PHP_left,C_PH_left,ILF_left,IFOF_left,UF_left,VOF_left,CST_left,CBT_left,CStr_A_left,CStr_P_left,CStr_S_left,CTh_A_left,CTh_P_left,CTh_S_left,OR_left,F_left,LR,FAT_right,AF_right,PTAT_right,MdLF_right,SLF_III_right,SLF_II_right,SLF_I_right,C_FP_right,C_R_right,C_FPH_right,C_PHP_right,C_PH_right,ILF_right,IFOF_right,UF_right,VOF_right,CST_right,CBT_right,CStr_A_right,CStr_P_right,CStr_S_right,CTh_A_right,CTh_P_right,CTh_S_right,OR_right,F_right,regionLongName,regionIdLabel,region,cortex
23,L_MT,0.0,0.0253521126760563,0.571830985915493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00845070422535211,0.0,0.0,0.142723004694836,0.0,0.0,0.0,0.000938967136150235,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle_Temporal_Area_L,23_L,MT,MT+_Complex_and_Neighboring_Visual_Areas
24,L_A1,0.0,0.507981220657277,0.0,0.972537878787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629107981220657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122065727699531,0.0,0.0,0.00469483568075117,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary_Auditory_Cortex_L,24_L,A1,Early_Auditory
25,L_PSL,0.0,0.973708920187793,0.949295774647887,0.0,0.587793427230047,0.153051643192488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00563380281690141,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,PeriSylvian_Language_Area_L,25_L,PSL,Temporo-Parieto_Occipital_Junction
26,L_SFL,1.0,0.0,0.0,0.0,0.0,0.0234741784037559,0.913615023474178,0.176525821596244,0.0,0.117370892018779,0.0,0.0,0.0,0.0,0.0,0.0,0.753990610328639,0.0,0.0,0.0,1.0,0.0150234741784038,0.0,1.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Superior_Frontal_Language_Area_L,26_L,SFL,Dorsolateral_Prefrontal
27,L_PCV,0.0,0.0,0.0,0.0151515151515152,0.0,0.0,0.99906103286385,0.824413145539906,0.0507042253521127,0.0,0.123004694835681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0516431924882629,0.0,0.0,0.27981220657277,0.015962441314554,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,PreCuneus_Visual_Area_L,27_L,PCV,Posterior_Cingulate
28,L_STV,0.0,0.965258215962441,0.937089201877934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00187793427230047,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Superior_Temporal_Visual_Area_L,28_L,STV,Temporo-Parieto-Occipital_Junction
29,L_7Pm,0.0,0.0,0.0,0.411931818181818,0.0,0.0,0.900469483568075,0.769953051643193,0.0,0.0,0.907042253521127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647887323943662,0.0,0.0,0.922065727699531,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Medial_Area_7P_L,29_L,7Pm,Superior_Parietal
30,L_7m,0.0,0.0,0.0,0.00473484848484849,0.0,0.0,0.933333333333333,0.996244131455399,0.253521126760563,0.0,0.738967136150235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11830985915493,0.0,0.0,0.27887323943662,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_7m_L,30_L,7m,Posterior_Cingulate
31,L_POS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969953051643193,0.0938967136150235,0.814084507042254,0.857276995305164,0.591549295774648,0.00469483568075117,0.0,0.0,0.0,0.0,0.0,0.0,0.00845070422535211,0.0,0.0,0.000938967136150235,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Parieto-Occipital_Sulcus_Area_1_L,31_L,POS1,Posterior_Cingulate
32,L_23d,0.0,0.0,0.0,0.0,0.0,0.0,0.628169014084507,0.875117370892019,1.0,0.142723004694836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_23d_L,32_L,23d,Posterior_Cingulate
